word,frequency,start_date,end_date,rank
like,62,11/04/2020,19/04/2020,14
test,59,11/04/2020,19/04/2020,15
live,59,11/04/2020,19/04/2020,16
time,56,11/04/2020,19/04/2020,17
know,54,11/04/2020,19/04/2020,18
lockdown,54,11/04/2020,19/04/2020,19
day,51,11/04/2020,19/04/2020,20
death,245,21/04/2020,29/04/2020,1
care,198,21/04/2020,29/04/2020,2
home,195,21/04/2020,29/04/2020,3
die,167,21/04/2020,29/04/2020,4
peopl,128,21/04/2020,29/04/2020,5
govern,127,21/04/2020,29/04/2020,6
test,126,21/04/2020,29/04/2020,7
hospit,112,21/04/2020,29/04/2020,8
amp,107,21/04/2020,29/04/2020,9
patient,97,21/04/2020,29/04/2020,10
whi,90,21/04/2020,29/04/2020,11
ppe,86,21/04/2020,29/04/2020,12
work,80,21/04/2020,29/04/2020,13
nhs,77,21/04/2020,29/04/2020,14
worker,77,21/04/2020,29/04/2020,15
mani,69,21/04/2020,29/04/2020,16
like,64,21/04/2020,29/04/2020,17
dont,60,21/04/2020,29/04/2020,18
need,59,21/04/2020,29/04/2020,19
silenc,59,21/04/2020,29/04/2020,20
death,250,01/05/2020,09/05/2020,1
lockdown,185,01/05/2020,09/05/2020,2
peopl,179,01/05/2020,09/05/2020,3
die,135,01/05/2020,09/05/2020,4
test,107,01/05/2020,09/05/2020,5
amp,95,01/05/2020,09/05/2020,6
govern,95,01/05/2020,09/05/2020,7
care,86,01/05/2020,09/05/2020,8
dont,85,01/05/2020,09/05/2020,9
home,82,01/05/2020,09/05/2020,10
like,81,01/05/2020,09/05/2020,11
day,77,01/05/2020,09/05/2020,12
hospit,71,01/05/2020,09/05/2020,13
whi,66,01/05/2020,09/05/2020,14
think,66,01/05/2020,09/05/2020,15
live,65,01/05/2020,09/05/2020,16
onli,63,01/05/2020,09/05/2020,17
becaus,60,01/05/2020,09/05/2020,18
work,59,01/05/2020,09/05/2020,19
world,57,01/05/2020,09/05/2020,20
death,155,11/05/2020,19/05/2020,1
amp,133,11/05/2020,19/05/2020,2
peopl,119,11/05/2020,19/05/2020,3
care,98,11/05/2020,19/05/2020,4
home,98,11/05/2020,19/05/2020,5
die,91,11/05/2020,19/05/2020,6
pandem,86,11/05/2020,19/05/2020,7
govern,79,11/05/2020,19/05/2020,8
patient,78,11/05/2020,19/05/2020,9
public,75,11/05/2020,19/05/2020,10
lockdown,72,11/05/2020,19/05/2020,11
whi,72,11/05/2020,19/05/2020,12
test,71,11/05/2020,19/05/2020,13
onli,71,11/05/2020,19/05/2020,14
vaccin,67,11/05/2020,19/05/2020,15
countri,67,11/05/2020,19/05/2020,16
hand,66,11/05/2020,19/05/2020,17
handl,64,11/05/2020,19/05/2020,18
dont,61,11/05/2020,19/05/2020,19
trump,60,11/05/2020,19/05/2020,20
peopl,190,21/05/2020,29/05/2020,1
death,185,21/05/2020,29/05/2020,2
cum,142,21/05/2020,29/05/2020,3
amp,114,21/05/2020,29/05/2020,4
help,113,21/05/2020,29/05/2020,5
need,100,21/05/2020,29/05/2020,6
decis,98,21/05/2020,29/05/2020,7
dont,94,21/05/2020,29/05/2020,8
lockdown,93,21/05/2020,29/05/2020,9
question,91,21/05/2020,29/05/2020,10
test,79,21/05/2020,29/05/2020,11
said,77,21/05/2020,29/05/2020,12
whi,69,21/05/2020,29/05/2020,13
govern,68,21/05/2020,29/05/2020,14
home,68,21/05/2020,29/05/2020,15
isnt,67,21/05/2020,29/05/2020,16
die,67,21/05/2020,29/05/2020,17
public,65,21/05/2020,29/05/2020,18
crisi,64,21/05/2020,29/05/2020,19
world,56,21/05/2020,29/05/2020,20
death,232,01/06/2020,09/06/2020,1
peopl,144,01/06/2020,09/06/2020,2
amp,106,01/06/2020,09/06/2020,3
govern,103,01/06/2020,09/06/2020,4
new,95,01/06/2020,09/06/2020,5
like,85,01/06/2020,09/06/2020,6
protest,80,01/06/2020,09/06/2020,7
countri,79,01/06/2020,09/06/2020,8
live,78,01/06/2020,09/06/2020,9
whi,77,01/06/2020,09/06/2020,10
respons,71,01/06/2020,09/06/2020,11
brexit,66,01/06/2020,09/06/2020,12
becaus,65,01/06/2020,09/06/2020,13
need,65,01/06/2020,09/06/2020,14
account,64,01/06/2020,09/06/2020,15
dont,62,01/06/2020,09/06/2020,16
polic,58,01/06/2020,09/06/2020,17
onli,58,01/06/2020,09/06/2020,18
rate,57,01/06/2020,09/06/2020,19
die,57,01/06/2020,09/06/2020,20
death,141,11/06/2020,19/06/2020,1
amp,96,11/06/2020,19/06/2020,2
peopl,94,11/06/2020,19/06/2020,3
world,89,11/06/2020,19/06/2020,4
govern,76,11/06/2020,19/06/2020,5
brexit,67,11/06/2020,19/06/2020,6
school,67,11/06/2020,19/06/2020,7
