,word,frequency,start_date,end_date
243,Brexiters,2,2020-01-11,2020-01-19
244,UN,2,2020-01-11,2020-01-19
245,Tagliafico,2,2020-01-11,2020-01-19
246,NHS,2,2020-01-11,2020-01-19
247,ITV,2,2020-01-11,2020-01-19
248,the Caliphate of England,2,2020-01-11,2020-01-19
249,European Parliament,1,2020-01-11,2020-01-19
250,Storm,1,2020-01-11,2020-01-19
251,Nuff,1,2020-01-11,2020-01-19
252,Electricalinjury,1,2020-01-11,2020-01-19
253,Banning,1,2020-01-11,2020-01-19
254,the Russian Report,1,2020-01-11,2020-01-19
255,the Labour Party,1,2020-01-11,2020-01-19
256,AmysRule,1,2020-01-11,2020-01-19
257,the Import and Exports of Hunting Trophies Now Sign the Petition httpstcogK4hlNAs5Z,1,2020-01-11,2020-01-19
258,the Import and Exports of Hunting Trophies Now Sign the Petition httpstcozQfpt3PV2m,1,2020-01-11,2020-01-19
259,CummingsBot Bloody,1,2020-01-11,2020-01-19
260,the Opposition to Boris Johnson,1,2020-01-11,2020-01-19
261,httpstcoVvW6NObodh,1,2020-01-11,2020-01-19
262,GHU,1,2020-01-11,2020-01-19
263,Aburi Accord,1,2020-01-11,2020-01-19
264,UKPolitics,1,2020-01-11,2020-01-19
265,Eu,1,2020-01-11,2020-01-19
266,ICAP,1,2020-01-11,2020-01-19
267,State Pension,1,2020-01-11,2020-01-19
268,Par,1,2020-01-11,2020-01-19
269,SturgeonSalmond,1,2020-01-11,2020-01-19
270,MmmmmmThe,1,2020-01-11,2020-01-19
271,Hogweard,1,2020-01-11,2020-01-19
272,Leavers,1,2020-01-11,2020-01-19
273,Years,1,2020-01-11,2020-01-19
274,World Bank,1,2020-01-11,2020-01-19
275,Media WTF,1,2020-01-11,2020-01-19
276,Manchester Olympus Mons,1,2020-01-11,2020-01-19
277,Amazon US,1,2020-01-11,2020-01-19
278,CV,1,2020-01-11,2020-01-19
279,The Japan Times,1,2020-01-11,2020-01-19
280,Indian High Commission,1,2020-01-11,2020-01-19
281,The Conservatives The Labour Party,1,2020-01-11,2020-01-19
282,EnforcetheBan httpstcoKKhMwo97Y2,1,2020-01-11,2020-01-19
283,Minford,1,2020-01-11,2020-01-19
284,EmilyThornberry,1,2020-01-11,2020-01-19
285,SundayTimes,1,2020-01-11,2020-01-19
286,JobSeekers Reckon,1,2020-01-11,2020-01-19
287,Grenfell,1,2020-01-11,2020-01-19
288,Jewish BIAFRA,1,2020-01-11,2020-01-19
289,the City Westminster Plebs,1,2020-01-11,2020-01-19
290,the US Cue,1,2020-01-11,2020-01-19
291,ApartheidIsraels,1,2020-01-11,2020-01-19
292,TrophyHunting,1,2020-01-11,2020-01-19
293,HumanRights,1,2020-01-11,2020-01-19
294,BorisJohnson Boris,1,2020-01-11,2020-01-19
295,NL,1,2020-01-11,2020-01-19
296,Govt,1,2020-01-11,2020-01-19
297,EU Exit,1,2020-01-11,2020-01-19
298,SCOTLAND,1,2020-01-11,2020-01-19
299,FFS,1,2020-01-11,2020-01-19
300,FiveEyes,1,2020-01-11,2020-01-19
301,LEtat,1,2020-01-11,2020-01-19
302,IMMORAL,1,2020-01-11,2020-01-19
303,PS Dla,1,2020-01-11,2020-01-19
304,The Food and Drink Federation Proposals,1,2020-01-11,2020-01-19
305,RAF Croughton,1,2020-01-11,2020-01-19
306,NurOwn,1,2020-01-11,2020-01-19
307,Reuters World News httpstcoPg11dYqFoO,1,2020-01-11,2020-01-19
308,RoyalFamily,1,2020-01-11,2020-01-19
309,Tory Government,1,2020-01-11,2020-01-19
310,Daily Mail,1,2020-01-11,2020-01-19
311,DEFINITELY,1,2020-01-11,2020-01-19
312,httpstcoDLJ3RMPNRC,1,2020-01-11,2020-01-19
313,The US France,1,2020-01-11,2020-01-19
314,Global Ocean Treaty,1,2020-01-11,2020-01-19
315,the Kenya High Commission,1,2020-01-11,2020-01-19
316,NotMyPM NastyParty Brexshit,1,2020-01-11,2020-01-19
317,ABI,1,2020-01-11,2020-01-19
318,the Bells Its a Disgrace BONGFORBREXIT,1,2020-01-11,2020-01-19
319,the Tory Party,1,2020-01-11,2020-01-19
320,SouthAfrica,1,2020-01-11,2020-01-19
321,FBPE,1,2020-01-11,2020-01-19
322,Mr Browns,1,2020-01-11,2020-01-19
323,DEM,1,2020-01-11,2020-01-19
324,Reuters,1,2020-01-11,2020-01-19
325,the Import and Exports of Hunting Trophies,1,2020-01-11,2020-01-19
326,Cabinet,1,2020-01-11,2020-01-19
327,Tiny Rowland,1,2020-01-11,2020-01-19
328,Abdlhamid,1,2020-01-11,2020-01-19
329,Boris Johnsons,1,2020-01-11,2020-01-19
330,Brexit StopTheCoup,1,2020-01-11,2020-01-19
331,The Independent httpstcoiM2gjZnHun How,1,2020-01-11,2020-01-19
332,CambridgeAnalytical,1,2020-01-11,2020-01-19
333,FOM Lost,1,2020-01-11,2020-01-19
334,Secular State W Secular Education Syllabuses,1,2020-01-11,2020-01-19
335,Small Business Owner,1,2020-01-11,2020-01-19
336,FART,1,2020-01-11,2020-01-19
337,PS,1,2020-01-11,2020-01-19
338,The Institute for Government,1,2020-01-11,2020-01-19
339,the Slaughter Animal Chemical Drug Industry,1,2020-01-11,2020-01-19
340,the Big Bunga Bonks Whaff,1,2020-01-11,2020-01-19
341,DonaldTrump,1,2020-01-11,2020-01-19
342,ReleaseRussianReport,1,2020-01-11,2020-01-19
343,the House of Lords,1,2020-01-11,2020-01-19
344,Piccadilly,1,2020-01-11,2020-01-19
345,the RussianReport Nothing,1,2020-01-11,2020-01-19
346,the Daily Mirror,1,2020-01-11,2020-01-19
347,Please,1,2020-01-11,2020-01-19
348,WTF Bercow,1,2020-01-11,2020-01-19
349,Open Envelope Tender Business,1,2020-01-11,2020-01-19
350,the Postal Votes,1,2020-01-11,2020-01-19
351,EconomicSlowdown,1,2020-01-11,2020-01-19
352,BorisJohnson Cummings,1,2020-01-11,2020-01-19
353,Nicola Sturgeon,1,2020-01-11,2020-01-19
354,the House of Commons,1,2020-01-11,2020-01-19
355,NOW,1,2020-01-11,2020-01-19
356,UKAfrica Summit,1,2020-01-11,2020-01-19
357,JenniferArcuri JeffreyEpstein BrexitJohnson BorisJohnson,1,2020-01-11,2020-01-19
358,GOP,1,2020-01-11,2020-01-19
359,the Labour PLP,1,2020-01-11,2020-01-19
360,BONG FOR BREXIT,1,2020-01-11,2020-01-19
361,Economics,1,2020-01-11,2020-01-19
362,ECT,1,2020-01-11,2020-01-19
363,SCOTLANDS Independence,1,2020-01-11,2020-01-19
364,UnitedKingdoms,1,2020-01-11,2020-01-19
365,Great Journalism,1,2020-01-11,2020-01-19
366,ClimateEmergency,1,2020-01-11,2020-01-19
367,500k,1,2020-01-11,2020-01-19
368,Antisemitic,1,2020-01-11,2020-01-19
369,TheQueen,1,2020-01-11,2020-01-19
370,Time,1,2020-01-11,2020-01-19
371,Robber,1,2020-01-11,2020-01-19
372,Channel 4,1,2020-01-11,2020-01-19
373,Spot on Please banned Huawei,1,2020-01-11,2020-01-19
374,BrexitBorisJohnson,1,2020-01-11,2020-01-19
375,Bernie,1,2020-01-11,2020-01-19
376,U,1,2020-01-11,2020-01-19
377,a European Free Trade Zone,1,2020-01-11,2020-01-19
378,the Royal Family,1,2020-01-11,2020-01-19
379,HarryandMeghan,1,2020-01-11,2020-01-19
380,Anti Brexit Civil Servants Out,1,2020-01-11,2020-01-19
381,Pathetic Bercow,1,2020-01-11,2020-01-19
382,MEP,1,2020-01-11,2020-01-19
383,AFD,1,2020-01-11,2020-01-19
384,Fraud No,1,2020-01-11,2020-01-19
